"Town","Birth.Weight","Gestational.Age","Mother.s.Age","Mother.s.Race.Ethnicity","Earliest.Data.Available"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All","2014"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2014"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","White","2014"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2014"
"Columbia","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Connecticut","All","37 weeks or more","0 to 14 years","All","2014"
"Connecticut","All","37 weeks or more","15 to 19 years","All","2014"
"Connecticut","All","37 weeks or more","20 to 24 years","All","2014"
"Connecticut","All","37 weeks or more","25 to 29 years","All","2014"
"Connecticut","All","37 weeks or more","30 to 34 years","All","2014"
"Connecticut","All","37 weeks or more","35 to 39 years","All","2014"
"Connecticut","All","37 weeks or more","40 to 44 years","All","2014"
"Connecticut","All","37 weeks or more","45 years and older","All","2014"
"Connecticut","All","37 weeks or more","All","All","2014"
"Connecticut","All","37 weeks or more","All","Black","2014"
"Connecticut","All","37 weeks or more","All","Black non-Hispanic","2014"
"Connecticut","All","37 weeks or more","All","Hispanic","2014"
"Connecticut","All","37 weeks or more","All","Non-Hispanic","2014"
"Connecticut","All","37 weeks or more","All","Other","2014"
"Connecticut","All","37 weeks or more","All","Other non-Hispanic","2014"
"Connecticut","All","37 weeks or more","All","Unknown Ethnicity","2014"
"Connecticut","All","37 weeks or more","All","Unknown Race","2014"
"Connecticut","All","37 weeks or more","All","Unknown Race/Ethnicity","2014"
"Connecticut","All","37 weeks or more","All","White","2014"
"Connecticut","All","37 weeks or more","All","White non-Hispanic","2014"
"Connecticut","All","37 weeks or more","Unknown","All","2014"
"Connecticut","All","All","0 to 14 years","All","2014"
"Connecticut","All","All","15 to 19 years","All","2014"
"Connecticut","All","All","20 to 24 years","All","2014"
"Connecticut","All","All","25 to 29 years","All","2014"
"Connecticut","All","All","30 to 34 years","All","2014"
"Connecticut","All","All","35 to 39 years","All","2014"
"Connecticut","All","All","40 to 44 years","All","2014"
"Connecticut","All","All","45 years and older","All","2014"
"Connecticut","All","All","All","All","2014"
"Connecticut","All","All","All","Black","2014"
"Connecticut","All","All","All","Black non-Hispanic","2014"
"Connecticut","All","All","All","Hispanic","2014"
"Connecticut","All","All","All","Non-Hispanic","2014"
"Connecticut","All","All","All","Other","2014"
"Connecticut","All","All","All","Other non-Hispanic","2014"
"Connecticut","All","All","All","Unknown Ethnicity","2014"
"Connecticut","All","All","All","Unknown Race","2014"
"Connecticut","All","All","All","Unknown Race/Ethnicity","2014"
"Connecticut","All","All","All","White","2014"
"Connecticut","All","All","All","White non-Hispanic","2014"
"Connecticut","All","All","Unknown","All","2014"
"Connecticut","All","Gestational age unknown","0 to 14 years","All","2010-2014"
"Connecticut","All","Gestational age unknown","15 to 19 years","All","2014"
"Connecticut","All","Gestational age unknown","20 to 24 years","All","2014"
"Connecticut","All","Gestational age unknown","25 to 29 years","All","2014"
"Connecticut","All","Gestational age unknown","30 to 34 years","All","2014"
"Connecticut","All","Gestational age unknown","35 to 39 years","All","2014"
"Connecticut","All","Gestational age unknown","40 to 44 years","All","2014"
"Connecticut","All","Gestational age unknown","45 years and older","All","2012-2014"
"Connecticut","All","Gestational age unknown","All","All","2014"
"Connecticut","All","Gestational age unknown","All","Black","2014"
"Connecticut","All","Gestational age unknown","All","Black non-Hispanic","2014"
"Connecticut","All","Gestational age unknown","All","Hispanic","2014"
"Connecticut","All","Gestational age unknown","All","Non-Hispanic","2014"
"Connecticut","All","Gestational age unknown","All","Other","2014"
"Connecticut","All","Gestational age unknown","All","Other non-Hispanic","2014"
"Connecticut","All","Gestational age unknown","All","Unknown Ethnicity","2012-2014"
"Connecticut","All","Gestational age unknown","All","Unknown Race","2012-2014"
"Connecticut","All","Gestational age unknown","All","Unknown Race/Ethnicity","2012-2014"
"Connecticut","All","Gestational age unknown","All","White","2014"
"Connecticut","All","Gestational age unknown","All","White non-Hispanic","2014"
"Connecticut","All","Gestational age unknown","Unknown","All",NA
"Connecticut","All","Less than 37 weeks","0 to 14 years","All","2014"
"Connecticut","All","Less than 37 weeks","15 to 19 years","All","2014"
"Connecticut","All","Less than 37 weeks","20 to 24 years","All","2014"
"Connecticut","All","Less than 37 weeks","25 to 29 years","All","2014"
"Connecticut","All","Less than 37 weeks","30 to 34 years","All","2014"
"Connecticut","All","Less than 37 weeks","35 to 39 years","All","2014"
"Connecticut","All","Less than 37 weeks","40 to 44 years","All","2014"
"Connecticut","All","Less than 37 weeks","45 years and older","All","2014"
"Connecticut","All","Less than 37 weeks","All","All","2014"
"Connecticut","All","Less than 37 weeks","All","Black","2014"
"Connecticut","All","Less than 37 weeks","All","Black non-Hispanic","2014"
"Connecticut","All","Less than 37 weeks","All","Hispanic","2014"
"Connecticut","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Connecticut","All","Less than 37 weeks","All","Other","2014"
"Connecticut","All","Less than 37 weeks","All","Other non-Hispanic","2014"
"Connecticut","All","Less than 37 weeks","All","Unknown Ethnicity","2014"
"Connecticut","All","Less than 37 weeks","All","Unknown Race","2014"
"Connecticut","All","Less than 37 weeks","All","Unknown Race/Ethnicity","2014"
"Connecticut","All","Less than 37 weeks","All","White","2014"
"Connecticut","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Connecticut","All","Less than 37 weeks","Unknown","All",NA
"Connecticut","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","45 years and older","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Black","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Hispanic","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Other","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Unknown Race","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Connecticut","Low Birth Weight (under 2500 grams)","All","Unknown","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Black","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Other","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","White","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2014"
"Connecticut","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Cornwall","All","37 weeks or more","0 to 14 years","All",NA
"Cornwall","All","37 weeks or more","15 to 19 years","All",NA
"Cornwall","All","37 weeks or more","20 to 24 years","All","2012-2014"
"Cornwall","All","37 weeks or more","25 to 29 years","All","2014"
"Cornwall","All","37 weeks or more","30 to 34 years","All","2014"
"Cornwall","All","37 weeks or more","35 to 39 years","All","2012-2014"
"Cornwall","All","37 weeks or more","40 to 44 years","All","2012-2014"
"Cornwall","All","37 weeks or more","45 years and older","All",NA
"Cornwall","All","37 weeks or more","All","All","2014"
"Cornwall","All","37 weeks or more","All","Black",NA
"Cornwall","All","37 weeks or more","All","Black non-Hispanic",NA
"Cornwall","All","37 weeks or more","All","Hispanic","2012-2014"
"Cornwall","All","37 weeks or more","All","Non-Hispanic","2014"
"Cornwall","All","37 weeks or more","All","Other",NA
"Cornwall","All","37 weeks or more","All","Other non-Hispanic",NA
"Cornwall","All","37 weeks or more","All","Unknown Ethnicity",NA
"Cornwall","All","37 weeks or more","All","Unknown Race",NA
"Cornwall","All","37 weeks or more","All","Unknown Race/Ethnicity",NA
"Cornwall","All","37 weeks or more","All","White","2014"
"Cornwall","All","37 weeks or more","All","White non-Hispanic","2014"
"Cornwall","All","37 weeks or more","Unknown","All",NA
"Cornwall","All","All","0 to 14 years","All",NA
"Cornwall","All","All","15 to 19 years","All",NA
"Cornwall","All","All","20 to 24 years","All","2012-2014"
"Cornwall","All","All","25 to 29 years","All","2014"
"Cornwall","All","All","30 to 34 years","All","2014"
"Cornwall","All","All","35 to 39 years","All","2012-2014"
"Cornwall","All","All","40 to 44 years","All","2012-2014"
"Cornwall","All","All","45 years and older","All",NA
"Cornwall","All","All","All","All","2014"
"Cornwall","All","All","All","Black",NA
"Cornwall","All","All","All","Black non-Hispanic",NA
"Cornwall","All","All","All","Hispanic","2012-2014"
"Cornwall","All","All","All","Non-Hispanic","2014"
"Cornwall","All","All","All","Other",NA
"Cornwall","All","All","All","Other non-Hispanic",NA
"Cornwall","All","All","All","Unknown Ethnicity",NA
"Cornwall","All","All","All","Unknown Race",NA
"Cornwall","All","All","All","Unknown Race/Ethnicity",NA
"Cornwall","All","All","All","White","2014"
"Cornwall","All","All","All","White non-Hispanic","2014"
"Cornwall","All","All","Unknown","All",NA
"Cornwall","All","Gestational age unknown","0 to 14 years","All",NA
"Cornwall","All","Gestational age unknown","15 to 19 years","All",NA
"Cornwall","All","Gestational age unknown","20 to 24 years","All",NA
"Cornwall","All","Gestational age unknown","25 to 29 years","All",NA
"Cornwall","All","Gestational age unknown","30 to 34 years","All",NA
"Cornwall","All","Gestational age unknown","35 to 39 years","All",NA
"Cornwall","All","Gestational age unknown","40 to 44 years","All",NA
"Cornwall","All","Gestational age unknown","45 years and older","All",NA
"Cornwall","All","Gestational age unknown","All","All",NA
"Cornwall","All","Gestational age unknown","All","Black",NA
"Cornwall","All","Gestational age unknown","All","Black non-Hispanic",NA
"Cornwall","All","Gestational age unknown","All","Hispanic",NA
"Cornwall","All","Gestational age unknown","All","Non-Hispanic",NA
"Cornwall","All","Gestational age unknown","All","Other",NA
"Cornwall","All","Gestational age unknown","All","Other non-Hispanic",NA
"Cornwall","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Cornwall","All","Gestational age unknown","All","Unknown Race",NA
"Cornwall","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Cornwall","All","Gestational age unknown","All","White",NA
"Cornwall","All","Gestational age unknown","All","White non-Hispanic",NA
"Cornwall","All","Gestational age unknown","Unknown","All",NA
"Cornwall","All","Less than 37 weeks","0 to 14 years","All",NA
"Cornwall","All","Less than 37 weeks","15 to 19 years","All",NA
"Cornwall","All","Less than 37 weeks","20 to 24 years","All",NA
"Cornwall","All","Less than 37 weeks","25 to 29 years","All","2010-2014"
"Cornwall","All","Less than 37 weeks","30 to 34 years","All",NA
"Cornwall","All","Less than 37 weeks","35 to 39 years","All","2010-2014"
"Cornwall","All","Less than 37 weeks","40 to 44 years","All",NA
"Cornwall","All","Less than 37 weeks","45 years and older","All",NA
"Cornwall","All","Less than 37 weeks","All","All","2010-2014"
"Cornwall","All","Less than 37 weeks","All","Black",NA
"Cornwall","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Cornwall","All","Less than 37 weeks","All","Hispanic",NA
"Cornwall","All","Less than 37 weeks","All","Non-Hispanic","2010-2014"
"Cornwall","All","Less than 37 weeks","All","Other",NA
"Cornwall","All","Less than 37 weeks","All","Other non-Hispanic",NA
"Cornwall","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Cornwall","All","Less than 37 weeks","All","Unknown Race",NA
"Cornwall","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Cornwall","All","Less than 37 weeks","All","White","2010-2014"
"Cornwall","All","Less than 37 weeks","All","White non-Hispanic","2010-2014"
"Cornwall","All","Less than 37 weeks","Unknown","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2012-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2010-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2010-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","All","2012-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Hispanic",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2012-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Other",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","White","2012-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2012-2014"
"Cornwall","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","All",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","White",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic",NA
"Cornwall","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Coventry","All","37 weeks or more","0 to 14 years","All",NA
"Coventry","All","37 weeks or more","15 to 19 years","All","2014"
"Coventry","All","37 weeks or more","20 to 24 years","All","2014"
"Coventry","All","37 weeks or more","25 to 29 years","All","2014"
"Coventry","All","37 weeks or more","30 to 34 years","All","2014"
"Coventry","All","37 weeks or more","35 to 39 years","All","2014"
"Coventry","All","37 weeks or more","40 to 44 years","All","2014"
"Coventry","All","37 weeks or more","45 years and older","All","2012-2014"
"Coventry","All","37 weeks or more","All","All","2014"
"Coventry","All","37 weeks or more","All","Black","2014"
"Coventry","All","37 weeks or more","All","Black non-Hispanic","2014"
"Coventry","All","37 weeks or more","All","Hispanic","2014"
"Coventry","All","37 weeks or more","All","Non-Hispanic","2014"
"Coventry","All","37 weeks or more","All","Other","2014"
"Coventry","All","37 weeks or more","All","Other non-Hispanic","2014"
"Coventry","All","37 weeks or more","All","Unknown Ethnicity","2010-2014"
"Coventry","All","37 weeks or more","All","Unknown Race",NA
"Coventry","All","37 weeks or more","All","Unknown Race/Ethnicity","2010-2014"
"Coventry","All","37 weeks or more","All","White","2014"
"Coventry","All","37 weeks or more","All","White non-Hispanic","2014"
"Coventry","All","37 weeks or more","Unknown","All",NA
"Coventry","All","All","0 to 14 years","All",NA
"Coventry","All","All","15 to 19 years","All","2014"
"Coventry","All","All","20 to 24 years","All","2014"
"Coventry","All","All","25 to 29 years","All","2014"
"Coventry","All","All","30 to 34 years","All","2014"
"Coventry","All","All","35 to 39 years","All","2014"
"Coventry","All","All","40 to 44 years","All","2014"
"Coventry","All","All","45 years and older","All","2012-2014"
"Coventry","All","All","All","All","2014"
"Coventry","All","All","All","Black","2014"
"Coventry","All","All","All","Black non-Hispanic","2014"
"Coventry","All","All","All","Hispanic","2014"
"Coventry","All","All","All","Non-Hispanic","2014"
"Coventry","All","All","All","Other","2014"
"Coventry","All","All","All","Other non-Hispanic","2014"
"Coventry","All","All","All","Unknown Ethnicity","2010-2014"
"Coventry","All","All","All","Unknown Race",NA
"Coventry","All","All","All","Unknown Race/Ethnicity","2010-2014"
"Coventry","All","All","All","White","2014"
"Coventry","All","All","All","White non-Hispanic","2014"
"Coventry","All","All","Unknown","All",NA
"Coventry","All","Gestational age unknown","0 to 14 years","All",NA
"Coventry","All","Gestational age unknown","15 to 19 years","All",NA
"Coventry","All","Gestational age unknown","20 to 24 years","All",NA
"Coventry","All","Gestational age unknown","25 to 29 years","All",NA
"Coventry","All","Gestational age unknown","30 to 34 years","All",NA
"Coventry","All","Gestational age unknown","35 to 39 years","All",NA
"Coventry","All","Gestational age unknown","40 to 44 years","All",NA
"Coventry","All","Gestational age unknown","45 years and older","All",NA
"Coventry","All","Gestational age unknown","All","All",NA
"Coventry","All","Gestational age unknown","All","Black",NA
"Coventry","All","Gestational age unknown","All","Black non-Hispanic",NA
"Coventry","All","Gestational age unknown","All","Hispanic",NA
"Coventry","All","Gestational age unknown","All","Non-Hispanic",NA
"Coventry","All","Gestational age unknown","All","Other",NA
"Coventry","All","Gestational age unknown","All","Other non-Hispanic",NA
"Coventry","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Coventry","All","Gestational age unknown","All","Unknown Race",NA
"Coventry","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Coventry","All","Gestational age unknown","All","White",NA
"Coventry","All","Gestational age unknown","All","White non-Hispanic",NA
"Coventry","All","Gestational age unknown","Unknown","All",NA
"Coventry","All","Less than 37 weeks","0 to 14 years","All",NA
"Coventry","All","Less than 37 weeks","15 to 19 years","All","2010-2014"
"Coventry","All","Less than 37 weeks","20 to 24 years","All","2012-2014"
"Coventry","All","Less than 37 weeks","25 to 29 years","All","2014"
"Coventry","All","Less than 37 weeks","30 to 34 years","All","2014"
"Coventry","All","Less than 37 weeks","35 to 39 years","All","2014"
"Coventry","All","Less than 37 weeks","40 to 44 years","All","2014"
"Coventry","All","Less than 37 weeks","45 years and older","All",NA
"Coventry","All","Less than 37 weeks","All","All","2014"
"Coventry","All","Less than 37 weeks","All","Black",NA
"Coventry","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Coventry","All","Less than 37 weeks","All","Hispanic","2012-2014"
"Coventry","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Coventry","All","Less than 37 weeks","All","Other","2014"
"Coventry","All","Less than 37 weeks","All","Other non-Hispanic","2014"
"Coventry","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Coventry","All","Less than 37 weeks","All","Unknown Race",NA
"Coventry","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Coventry","All","Less than 37 weeks","All","White","2014"
"Coventry","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Coventry","All","Less than 37 weeks","Unknown","All",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2012-2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Hispanic",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Other","2012-2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic","2012-2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Coventry","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Coventry","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All","2010-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","All","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","White","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2012-2014"
"Coventry","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Cromwell","All","37 weeks or more","0 to 14 years","All",NA
"Cromwell","All","37 weeks or more","15 to 19 years","All","2014"
"Cromwell","All","37 weeks or more","20 to 24 years","All","2014"
"Cromwell","All","37 weeks or more","25 to 29 years","All","2014"
"Cromwell","All","37 weeks or more","30 to 34 years","All","2014"
"Cromwell","All","37 weeks or more","35 to 39 years","All","2014"
"Cromwell","All","37 weeks or more","40 to 44 years","All","2012-2014"
"Cromwell","All","37 weeks or more","45 years and older","All","2014"
"Cromwell","All","37 weeks or more","All","All","2014"
"Cromwell","All","37 weeks or more","All","Black","2014"
"Cromwell","All","37 weeks or more","All","Black non-Hispanic","2014"
"Cromwell","All","37 weeks or more","All","Hispanic","2014"
"Cromwell","All","37 weeks or more","All","Non-Hispanic","2014"
"Cromwell","All","37 weeks or more","All","Other","2014"
"Cromwell","All","37 weeks or more","All","Other non-Hispanic","2014"
"Cromwell","All","37 weeks or more","All","Unknown Ethnicity","2012-2014"
"Cromwell","All","37 weeks or more","All","Unknown Race","2010-2014"
"Cromwell","All","37 weeks or more","All","Unknown Race/Ethnicity","2012-2014"
"Cromwell","All","37 weeks or more","All","White","2014"
"Cromwell","All","37 weeks or more","All","White non-Hispanic","2014"
"Cromwell","All","37 weeks or more","Unknown","All",NA
"Cromwell","All","All","0 to 14 years","All",NA
