"Town","FIPS","Birth.Weight","Gestational.Age","Initiation.of.Prenatal.Care","Smoking.During.Pregnancy","Earliest.Data.Available"
"Bozrah",901106820,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Bozrah",901106820,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Bozrah",901106820,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2010-2014"
"Bozrah",901106820,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Bozrah",901106820,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","All","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","All","No",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Bozrah",901106820,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Branford",900907310,"All","37 weeks or more","All","All","2014"
"Branford",900907310,"All","37 weeks or more","All","No","2014"
"Branford",900907310,"All","37 weeks or more","All","Unknown",NA
"Branford",900907310,"All","37 weeks or more","All","Yes","2014"
"Branford",900907310,"All","37 weeks or more","First Trimester","All","2014"
"Branford",900907310,"All","37 weeks or more","None","All","2014"
"Branford",900907310,"All","37 weeks or more","Second Trimester","All","2014"
"Branford",900907310,"All","37 weeks or more","Third Trimester","All","2014"
"Branford",900907310,"All","37 weeks or more","Unknown","All","2014"
"Branford",900907310,"All","All","All","All","2014"
"Branford",900907310,"All","All","All","No","2014"
"Branford",900907310,"All","All","All","Unknown",NA
"Branford",900907310,"All","All","All","Yes","2014"
"Branford",900907310,"All","All","First Trimester","All","2014"
"Branford",900907310,"All","All","None","All","2014"
"Branford",900907310,"All","All","Second Trimester","All","2014"
"Branford",900907310,"All","All","Third Trimester","All","2014"
"Branford",900907310,"All","All","Unknown","All","2014"
"Branford",900907310,"All","Gestational age unknown","All","All","2012-2014"
"Branford",900907310,"All","Gestational age unknown","All","No","2012-2014"
"Branford",900907310,"All","Gestational age unknown","All","Unknown",NA
"Branford",900907310,"All","Gestational age unknown","All","Yes",NA
"Branford",900907310,"All","Gestational age unknown","First Trimester","All",NA
"Branford",900907310,"All","Gestational age unknown","None","All","2012-2014"
"Branford",900907310,"All","Gestational age unknown","Second Trimester","All",NA
"Branford",900907310,"All","Gestational age unknown","Third Trimester","All",NA
"Branford",900907310,"All","Gestational age unknown","Unknown","All",NA
"Branford",900907310,"All","Less than 37 weeks","All","All","2014"
"Branford",900907310,"All","Less than 37 weeks","All","No","2014"
"Branford",900907310,"All","Less than 37 weeks","All","Unknown",NA
"Branford",900907310,"All","Less than 37 weeks","All","Yes","2012-2014"
"Branford",900907310,"All","Less than 37 weeks","First Trimester","All","2014"
"Branford",900907310,"All","Less than 37 weeks","None","All",NA
"Branford",900907310,"All","Less than 37 weeks","Second Trimester","All","2014"
"Branford",900907310,"All","Less than 37 weeks","Third Trimester","All","2014"
"Branford",900907310,"All","Less than 37 weeks","Unknown","All","2012-2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","All","Yes","2010-2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2010-2014"
"Branford",900907310,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2012-2014"
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Branford",900907310,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Bridgeport",900108070,"All","37 weeks or more","All","All","2014"
"Bridgeport",900108070,"All","37 weeks or more","All","No","2014"
"Bridgeport",900108070,"All","37 weeks or more","All","Unknown","2014"
"Bridgeport",900108070,"All","37 weeks or more","All","Yes","2014"
"Bridgeport",900108070,"All","37 weeks or more","First Trimester","All","2014"
"Bridgeport",900108070,"All","37 weeks or more","None","All","2014"
"Bridgeport",900108070,"All","37 weeks or more","Second Trimester","All","2014"
"Bridgeport",900108070,"All","37 weeks or more","Third Trimester","All","2014"
"Bridgeport",900108070,"All","37 weeks or more","Unknown","All","2012-2014"
"Bridgeport",900108070,"All","All","All","All","2014"
"Bridgeport",900108070,"All","All","All","No","2014"
"Bridgeport",900108070,"All","All","All","Unknown","2014"
"Bridgeport",900108070,"All","All","All","Yes","2014"
"Bridgeport",900108070,"All","All","First Trimester","All","2014"
"Bridgeport",900108070,"All","All","None","All","2014"
"Bridgeport",900108070,"All","All","Second Trimester","All","2014"
"Bridgeport",900108070,"All","All","Third Trimester","All","2014"
"Bridgeport",900108070,"All","All","Unknown","All","2014"
"Bridgeport",900108070,"All","Gestational age unknown","All","All","2014"
"Bridgeport",900108070,"All","Gestational age unknown","All","No","2014"
"Bridgeport",900108070,"All","Gestational age unknown","All","Unknown","2010-2014"
"Bridgeport",900108070,"All","Gestational age unknown","All","Yes","2010-2014"
"Bridgeport",900108070,"All","Gestational age unknown","First Trimester","All","2014"
"Bridgeport",900108070,"All","Gestational age unknown","None","All","2010-2014"
"Bridgeport",900108070,"All","Gestational age unknown","Second Trimester","All",NA
"Bridgeport",900108070,"All","Gestational age unknown","Third Trimester","All",NA
"Bridgeport",900108070,"All","Gestational age unknown","Unknown","All","2010-2014"
"Bridgeport",900108070,"All","Less than 37 weeks","All","All","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","All","No","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","All","Unknown","2010-2014"
"Bridgeport",900108070,"All","Less than 37 weeks","All","Yes","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","First Trimester","All","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","None","All","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","Second Trimester","All","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","Third Trimester","All","2014"
"Bridgeport",900108070,"All","Less than 37 weeks","Unknown","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","All","Unknown","2010-2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","None","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2014"
"Bridgeport",900108070,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown","2010-2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","All","Yes","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","None","All","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2014"
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Bridgeport",900108070,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All","2012-2014"
"Bridgewater",900508210,"All","37 weeks or more","All","All","2014"
"Bridgewater",900508210,"All","37 weeks or more","All","No","2014"
"Bridgewater",900508210,"All","37 weeks or more","All","Unknown",NA
"Bridgewater",900508210,"All","37 weeks or more","All","Yes","2012-2014"
"Bridgewater",900508210,"All","37 weeks or more","First Trimester","All","2014"
"Bridgewater",900508210,"All","37 weeks or more","None","All",NA
"Bridgewater",900508210,"All","37 weeks or more","Second Trimester","All","2012-2014"
"Bridgewater",900508210,"All","37 weeks or more","Third Trimester","All",NA
"Bridgewater",900508210,"All","37 weeks or more","Unknown","All",NA
"Bridgewater",900508210,"All","All","All","All","2014"
"Bridgewater",900508210,"All","All","All","No","2014"
"Bridgewater",900508210,"All","All","All","Unknown",NA
"Bridgewater",900508210,"All","All","All","Yes","2012-2014"
"Bridgewater",900508210,"All","All","First Trimester","All","2014"
"Bridgewater",900508210,"All","All","None","All",NA
"Bridgewater",900508210,"All","All","Second Trimester","All","2012-2014"
"Bridgewater",900508210,"All","All","Third Trimester","All",NA
"Bridgewater",900508210,"All","All","Unknown","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","All","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","All","No",NA
"Bridgewater",900508210,"All","Gestational age unknown","All","Unknown",NA
"Bridgewater",900508210,"All","Gestational age unknown","All","Yes",NA
"Bridgewater",900508210,"All","Gestational age unknown","First Trimester","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","None","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","Second Trimester","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","Third Trimester","All",NA
"Bridgewater",900508210,"All","Gestational age unknown","Unknown","All",NA
"Bridgewater",900508210,"All","Less than 37 weeks","All","All","2014"
"Bridgewater",900508210,"All","Less than 37 weeks","All","No","2014"
"Bridgewater",900508210,"All","Less than 37 weeks","All","Unknown",NA
"Bridgewater",900508210,"All","Less than 37 weeks","All","Yes",NA
"Bridgewater",900508210,"All","Less than 37 weeks","First Trimester","All","2014"
"Bridgewater",900508210,"All","Less than 37 weeks","None","All",NA
"Bridgewater",900508210,"All","Less than 37 weeks","Second Trimester","All",NA
"Bridgewater",900508210,"All","Less than 37 weeks","Third Trimester","All",NA
"Bridgewater",900508210,"All","Less than 37 weeks","Unknown","All",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","All","Yes",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Bridgewater",900508210,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","All","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","All","No",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Bridgewater",900508210,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Bristol",900308490,"All","37 weeks or more","All","All","2014"
"Bristol",900308490,"All","37 weeks or more","All","No","2014"
"Bristol",900308490,"All","37 weeks or more","All","Unknown","2014"
"Bristol",900308490,"All","37 weeks or more","All","Yes","2014"
"Bristol",900308490,"All","37 weeks or more","First Trimester","All","2014"
"Bristol",900308490,"All","37 weeks or more","None","All","2014"
"Bristol",900308490,"All","37 weeks or more","Second Trimester","All","2014"
"Bristol",900308490,"All","37 weeks or more","Third Trimester","All","2014"
"Bristol",900308490,"All","37 weeks or more","Unknown","All","2010-2014"
"Bristol",900308490,"All","All","All","All","2014"
"Bristol",900308490,"All","All","All","No","2014"
"Bristol",900308490,"All","All","All","Unknown","2014"
"Bristol",900308490,"All","All","All","Yes","2014"
"Bristol",900308490,"All","All","First Trimester","All","2014"
"Bristol",900308490,"All","All","None","All","2014"
"Bristol",900308490,"All","All","Second Trimester","All","2014"
"Bristol",900308490,"All","All","Third Trimester","All","2014"
"Bristol",900308490,"All","All","Unknown","All","2014"
"Bristol",900308490,"All","Gestational age unknown","All","All","2014"
"Bristol",900308490,"All","Gestational age unknown","All","No","2014"
"Bristol",900308490,"All","Gestational age unknown","All","Unknown",NA
"Bristol",900308490,"All","Gestational age unknown","All","Yes","2012-2014"
"Bristol",900308490,"All","Gestational age unknown","First Trimester","All","2014"
"Bristol",900308490,"All","Gestational age unknown","None","All","2012-2014"
"Bristol",900308490,"All","Gestational age unknown","Second Trimester","All",NA
"Bristol",900308490,"All","Gestational age unknown","Third Trimester","All",NA
"Bristol",900308490,"All","Gestational age unknown","Unknown","All",NA
"Bristol",900308490,"All","Less than 37 weeks","All","All","2014"
"Bristol",900308490,"All","Less than 37 weeks","All","No","2014"
"Bristol",900308490,"All","Less than 37 weeks","All","Unknown","2014"
"Bristol",900308490,"All","Less than 37 weeks","All","Yes","2014"
"Bristol",900308490,"All","Less than 37 weeks","First Trimester","All","2014"
"Bristol",900308490,"All","Less than 37 weeks","None","All",NA
"Bristol",900308490,"All","Less than 37 weeks","Second Trimester","All","2014"
"Bristol",900308490,"All","Less than 37 weeks","Third Trimester","All","2014"
"Bristol",900308490,"All","Less than 37 weeks","Unknown","All","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","All","Unknown","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2014"
"Bristol",900308490,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2012-2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","All","Yes","2012-2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2012-2014"
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Bristol",900308490,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All","2012-2014"
"Brookfield",900108980,"All","37 weeks or more","All","All","2014"
"Brookfield",900108980,"All","37 weeks or more","All","No","2014"
"Brookfield",900108980,"All","37 weeks or more","All","Unknown","2014"
"Brookfield",900108980,"All","37 weeks or more","All","Yes","2014"
"Brookfield",900108980,"All","37 weeks or more","First Trimester","All","2014"
"Brookfield",900108980,"All","37 weeks or more","None","All",NA
"Brookfield",900108980,"All","37 weeks or more","Second Trimester","All","2014"
"Brookfield",900108980,"All","37 weeks or more","Third Trimester","All","2012-2014"
"Brookfield",900108980,"All","37 weeks or more","Unknown","All","2010-2014"
"Brookfield",900108980,"All","All","All","All","2014"
"Brookfield",900108980,"All","All","All","No","2014"
"Brookfield",900108980,"All","All","All","Unknown","2014"
"Brookfield",900108980,"All","All","All","Yes","2014"
"Brookfield",900108980,"All","All","First Trimester","All","2014"
"Brookfield",900108980,"All","All","None","All",NA
"Brookfield",900108980,"All","All","Second Trimester","All","2014"
"Brookfield",900108980,"All","All","Third Trimester","All","2012-2014"
"Brookfield",900108980,"All","All","Unknown","All","2010-2014"
"Brookfield",900108980,"All","Gestational age unknown","All","All","2010-2014"
"Brookfield",900108980,"All","Gestational age unknown","All","No",NA
"Brookfield",900108980,"All","Gestational age unknown","All","Unknown","2010-2014"
"Brookfield",900108980,"All","Gestational age unknown","All","Yes",NA
"Brookfield",900108980,"All","Gestational age unknown","First Trimester","All",NA
"Brookfield",900108980,"All","Gestational age unknown","None","All",NA
"Brookfield",900108980,"All","Gestational age unknown","Second Trimester","All",NA
"Brookfield",900108980,"All","Gestational age unknown","Third Trimester","All",NA
"Brookfield",900108980,"All","Gestational age unknown","Unknown","All","2010-2014"
"Brookfield",900108980,"All","Less than 37 weeks","All","All","2014"
"Brookfield",900108980,"All","Less than 37 weeks","All","No","2014"
"Brookfield",900108980,"All","Less than 37 weeks","All","Unknown",NA
"Brookfield",900108980,"All","Less than 37 weeks","All","Yes",NA
"Brookfield",900108980,"All","Less than 37 weeks","First Trimester","All","2014"
"Brookfield",900108980,"All","Less than 37 weeks","None","All",NA
"Brookfield",900108980,"All","Less than 37 weeks","Second Trimester","All","2014"
"Brookfield",900108980,"All","Less than 37 weeks","Third Trimester","All","2010-2014"
"Brookfield",900108980,"All","Less than 37 weeks","Unknown","All",NA
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","All","Yes",NA
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All",NA
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2010-2014"
"Brookfield",900108980,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Brookfield",900108980,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Brooklyn",901509190,"All","37 weeks or more","All","All","2014"
"Brooklyn",901509190,"All","37 weeks or more","All","No","2014"
"Brooklyn",901509190,"All","37 weeks or more","All","Unknown","2012-2014"
"Brooklyn",901509190,"All","37 weeks or more","All","Yes","2014"
"Brooklyn",901509190,"All","37 weeks or more","First Trimester","All","2014"
"Brooklyn",901509190,"All","37 weeks or more","None","All","2012-2014"
"Brooklyn",901509190,"All","37 weeks or more","Second Trimester","All","2014"
"Brooklyn",901509190,"All","37 weeks or more","Third Trimester","All","2010-2014"
"Brooklyn",901509190,"All","37 weeks or more","Unknown","All","2012-2014"
"Brooklyn",901509190,"All","All","All","All","2014"
"Brooklyn",901509190,"All","All","All","No","2014"
"Brooklyn",901509190,"All","All","All","Unknown","2012-2014"
"Brooklyn",901509190,"All","All","All","Yes","2014"
"Brooklyn",901509190,"All","All","First Trimester","All","2014"
"Brooklyn",901509190,"All","All","None","All","2012-2014"
"Brooklyn",901509190,"All","All","Second Trimester","All","2014"
"Brooklyn",901509190,"All","All","Third Trimester","All","2010-2014"
"Brooklyn",901509190,"All","All","Unknown","All","2012-2014"
"Brooklyn",901509190,"All","Gestational age unknown","All","All","2010-2014"
"Brooklyn",901509190,"All","Gestational age unknown","All","No","2010-2014"
"Brooklyn",901509190,"All","Gestational age unknown","All","Unknown",NA
"Brooklyn",901509190,"All","Gestational age unknown","All","Yes",NA
"Brooklyn",901509190,"All","Gestational age unknown","First Trimester","All",NA
"Brooklyn",901509190,"All","Gestational age unknown","None","All",NA
"Brooklyn",901509190,"All","Gestational age unknown","Second Trimester","All",NA
"Brooklyn",901509190,"All","Gestational age unknown","Third Trimester","All",NA
"Brooklyn",901509190,"All","Gestational age unknown","Unknown","All","2010-2014"
"Brooklyn",901509190,"All","Less than 37 weeks","All","All","2014"
"Brooklyn",901509190,"All","Less than 37 weeks","All","No","2014"
"Brooklyn",901509190,"All","Less than 37 weeks","All","Unknown","2010-2014"
"Brooklyn",901509190,"All","Less than 37 weeks","All","Yes","2014"
"Brooklyn",901509190,"All","Less than 37 weeks","First Trimester","All","2014"
"Brooklyn",901509190,"All","Less than 37 weeks","None","All",NA
"Brooklyn",901509190,"All","Less than 37 weeks","Second Trimester","All","2012-2014"
"Brooklyn",901509190,"All","Less than 37 weeks","Third Trimester","All",NA
"Brooklyn",901509190,"All","Less than 37 weeks","Unknown","All","2012-2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2012-2014"
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Brooklyn",901509190,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2010-2014"
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","All","All","2012-2014"
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","All","No","2012-2014"
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2012-2014"
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Brooklyn",901509190,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All","2010-2014"
"Burlington",900310100,"All","37 weeks or more","All","All","2014"
"Burlington",900310100,"All","37 weeks or more","All","No","2014"
"Burlington",900310100,"All","37 weeks or more","All","Unknown",NA
"Burlington",900310100,"All","37 weeks or more","All","Yes","2014"
"Burlington",900310100,"All","37 weeks or more","First Trimester","All","2014"
"Burlington",900310100,"All","37 weeks or more","None","All","2010-2014"
"Burlington",900310100,"All","37 weeks or more","Second Trimester","All","2014"
"Burlington",900310100,"All","37 weeks or more","Third Trimester","All","2014"
"Burlington",900310100,"All","37 weeks or more","Unknown","All",NA
"Burlington",900310100,"All","All","All","All","2014"
"Burlington",900310100,"All","All","All","No","2014"
"Burlington",900310100,"All","All","All","Unknown",NA
"Burlington",900310100,"All","All","All","Yes","2014"
"Burlington",900310100,"All","All","First Trimester","All","2014"
"Burlington",900310100,"All","All","None","All","2010-2014"
"Burlington",900310100,"All","All","Second Trimester","All","2014"
"Burlington",900310100,"All","All","Third Trimester","All","2014"
"Burlington",900310100,"All","All","Unknown","All",NA
"Burlington",900310100,"All","Gestational age unknown","All","All",NA
"Burlington",900310100,"All","Gestational age unknown","All","No",NA
"Burlington",900310100,"All","Gestational age unknown","All","Unknown",NA
"Burlington",900310100,"All","Gestational age unknown","All","Yes",NA
"Burlington",900310100,"All","Gestational age unknown","First Trimester","All",NA
"Burlington",900310100,"All","Gestational age unknown","None","All",NA
"Burlington",900310100,"All","Gestational age unknown","Second Trimester","All",NA
"Burlington",900310100,"All","Gestational age unknown","Third Trimester","All",NA
"Burlington",900310100,"All","Gestational age unknown","Unknown","All",NA
"Burlington",900310100,"All","Less than 37 weeks","All","All","2014"
"Burlington",900310100,"All","Less than 37 weeks","All","No","2014"
"Burlington",900310100,"All","Less than 37 weeks","All","Unknown",NA
"Burlington",900310100,"All","Less than 37 weeks","All","Yes",NA
"Burlington",900310100,"All","Less than 37 weeks","First Trimester","All","2014"
"Burlington",900310100,"All","Less than 37 weeks","None","All","2010-2014"
"Burlington",900310100,"All","Less than 37 weeks","Second Trimester","All","2014"
"Burlington",900310100,"All","Less than 37 weeks","Third Trimester","All",NA
"Burlington",900310100,"All","Less than 37 weeks","Unknown","All",NA
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","All","Yes",NA
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","None","All","2010-2014"
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All",NA
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Burlington",900310100,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Burlington",900310100,"Very Low Birth Weight (under 1500 grams)","All","All","All","2012-2014"
"Burlington",900310100,"Very Low Birth Weight (under 1500 grams)","All","All","No","2012-2014"
"Burlington",900310100,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Burlington",900310100,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Burlington",900310100,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2012-2014"
